Manufcature,Type,Engine,Controller,SPN,FMI,Code,,,,
Bomag,Trench Roller,Kubota,BLM,1030,,"Output is switched off, function no longer possible Output valve driving forward, Y 16
The current flow from this output is too high output     was switched off! Excessive current flow in current path,
probably because of a defective coil or a short circuit to ground Terminal On BLM X3:22",,,,
Bomag,Trench Roller,Kubota,BLM,1031,,"Output is switched off, function no longer possible Output valve driving forward, Y 16
Short circuit current flowing from this output output was switched off ! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:22",,,,
Bomag,Trench Roller,Kubota,BLM,1032,,"Output is switched off, function no longer possible Output valve driving forward, Y 16
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:22",,,,
Bomag,Trench Roller,Kubota,BLM,1033,,"Engine is shut down Output valve driving forward, Y 16 Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:22",,,,
Bomag,Trench Roller,Kubota,BLM,1040,,"Output is switched off, function no longer possible Output valve driving reverse, Y 17
The current flow from this output is too high output     was switched off! Excessive current flow in current path, probably because of a defective coil or
a short circuit to ground Terminal On BLM X3:24",,,,
Bomag,Trench Roller,Kubota,BLM,1041,,"Output is switched off, function no longer possible Output valve driving reverse, Y 17
Short circuit current flowing from this output output was switched off ! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:24",,,,
Bomag,Trench Roller,Kubota,BLM,1042,,"Output is switched off, function no longer possible Output valve driving reverse, Y 17
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:24",,,,
Bomag,Trench Roller,Kubota,BLM,1043,,"Engine is shut down Output valve driving reverse, Y 17
Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:24",,,,
Bomag,Trench Roller,Kubota,BLM,1050,,"Output is switched off, function no longer possible Output valve 2nd gear, Y 03
The current flow from this output is too high output     was switched off! Excessive current flow in current path, probably because of a defective coil or
a short circuit to ground Terminal On BLM X3:11",,,,
Bomag,Trench Roller,Kubota,BLM,1051,,"Output is switched off, function no longer possible Output valve driving forward, Y 16
The current flow from this output is too high output     was switched off! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:11",,,,
Bomag,Trench Roller,Kubota,BLM,1052,,"Output is switched off, function no longer possible Output valve 2nd gear, Y 03
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:11",,,,
Bomag,Trench Roller,Kubota,BLM,1053,,"Output is switched off, engine runs only with idle speed Output valve 2nd gear, Y 03
Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:11",,,,
Bomag,Trench Roller,Kubota,BLM,1060,,"Output is switched off, function no longer possible Output braking valve, Y 04
The current flow from this output is too high output     was switched off! Excessive current flow in current path,
probably because of a defective coil or a short circuit to ground Terminal On BLM X3:40",,,,
Bomag,Trench Roller,Kubota,BLM,1061,,"Output is switched off, function no longer possible Output brakingvalve, Y 04
Short circuit current flowing from this output output was switched off ! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:40",,,,
Bomag,Trench Roller,Kubota,BLM,1062,,"Output is switched off, function no longer possible Output braking valve, Y 04
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:40",,,,
Bomag,Trench Roller,Kubota,BLM,1063,,"Output is switched off, engine runs only with idle speed Output braking valve, Y 04
Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:40",,,,
Bomag,Trench Roller,Kubota,BLM,1305,,"Output is switched off, function no longer possible Output valve driving forward, Y 16
The current flow from this output is too high output     was switched off! Excessive current flow in current path,
probably because of a defective coil or a short circuit to ground Terminal On BLM X3:12",,,,
Bomag,Trench Roller,Kubota,BLM,1306,,"Output is switched off, function no longer possible Output valve small amplitude, Y 56
Short circuit current flowing from this output output was switched off ! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:12",,,,
Bomag,Trench Roller,Kubota,BLM,1307,,"Output is switched off, function no longer possible Output small amplitude, Y 56
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:12",,,,
Bomag,Trench Roller,Kubota,BLM,1308,,"Output is switched off, engine runs
only with idle speed, 2nd gear is locked Output small amplitude, Y 56
Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:12",,,,
Bomag,Trench Roller,Kubota,BLM,1310,,"Output is switched off, function no longer possible Output big amplitude, Y 57
The current flow from this output is too high output     was switched off! Excessive current flow in current path, probably because of a defective coil or
a short circuit to ground Terminal On BLM X3:13",,,,
Bomag,Trench Roller,Kubota,BLM,1311,,"Output is switched off, function no longer possible Output big amplitude, Y 57
Short circuit current flowing from this output output was switched off ! Short circuit to ground in current path Lines rubbed through
Valve defective Terminal On BLM X3:13",,,,
Bomag,Trench Roller,Kubota,BLM,1312,,"Output is switched off, function no longer possible Output big amplitude, Y 57
No or too low current flow out of this output Wire breakage in current path Current path connected to +12V Terminal On BLM X3:13",,,,
Bomag,Trench Roller,Kubota,BLM,1313,,"Output is switched off, engine runs only with idle speed, 2nd gear is
locked Output big amplitude, Y 57
Although the output is switched off, voltage is present Current path connected to +12V Terminal On BLM X3:13",,,,
