Manufacture,Type,Engine,Controllers,SPN,FMI,Code
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,0,EGR Valve Failed to Attain Closed Position: Engine Exhaust Gas Recirculation 1 Valve Position Data Valid But Above Normal Operational Range - Most Severe Level; MU ist set if EGR valve could not reach the close position
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,1,EGR Valve Failed to Attain Open Position: Engine Exhaust Gas Recirculation 1 Valve Position Data Valid But Below Normal Operational Range - Most Severe Level; MU ist set if EGR valve could not reach the open position
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,2,"EGR Valve Position Feedback Failed: Engine Exhaust Gas Recirculation 1 Valve Position Data Erratic, Intermittent Or Incorrect; EGR Valve Position Feed Back Failed"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,3,"EGR Valve Position Circuit Failed High: Engine Exhaust Gas Recirculation 1 Valve Position Voltage Above Normal, Or Shorted To High Source; Position EGR Failed High"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,4,"EGR Valve Position Circuit Failed Low: Engine Exhaust Gas Recirculation 1 Valve Position Voltage Below Normal, Or Shorted To Low Source; Position EGR Failed Low"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,7,EGR Valve Spring Broken: Engine Exhaust Gas Recirculation 1 Valve Position Mechanical System Not Responding Or Out Of Adjustment; MDEG AGR Vale Spring broken
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,10,EGR Valve Position Deviation too High: Engine Exhaust Gas Recirculation 1 Valve Position Abnormal Rate Of Change; MU ist set if EGR valve position deveation is to high
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,11,"the egr valve stuck in the open postion: Relative Humidity Voltage Above Normal, Or Shorted To High Source; the egr valve stuck in the open postion"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,27,12,EGR Valve Frozen: Engine Exhaust Gas Recirculation 1 Valve Position Bad Intelligent Device Or Component;
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,45,3,Decompression valve MBR_KD; open circuit
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,45,4,Decompression valve MBR_KD; shorted to ground
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,45,12,Heater flange defective; Open circuit fault
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,51,2,"Intake Throttle Position Deviation Error: Engine Throttle Valve 1 Position Data Erratic, Intermittent Or Incorrect; position feedback plausibility"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,51,3,"Intake Air Throttle Circuit Failed High: Engine Throttle Valve 1 Position Voltage Above Normal, Or Shorted To High Source; Position Intake Air Throttle Failed High"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,51,4,"Intake Air Throttle Circuit Failed Low: Engine Throttle Valve 1 Position Voltage Below Normal, Or Shorted To Low Source; Position Intake Air Throttle Failed Low"
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,51,10,Intake Throttle Deviation Error Cold: Engine Throttle Valve 1 Position Abnormal Rate Of Change; position deviation diagnostic due to Intake throttle frozen
Bell,Dump/Track Truck,Cummins/Mercedes,ECU,51,18,Intake Throttle Position Rationality Error: Engine Throttle Valve 1 Position Data Valid But Below Normal Operating Range - Moderately Severe Level; Intake Air Valve plausibility check
