Manufcature,Type,Engine,Controller,SPN,FMI, Code,
CAT,,CAT,Ecm,1835,3,Auxiliary Pressure Sensor open/short to +batt ,
CAT,,CAT,Ecm,1835,4,Auxiliary Pressure Sensor short to ground ,
CAT,,CAT,Ecm,1836,3,Auxiliary Temperature  Sensor open/short to +batt ,
CAT,,CAT,Ecm,1836,4,Auxiliary Tern     ature Sensor short to ground ,
CAT,,CAT,Ecm,111,2,Engine Coolant Level Sensor Loss of Signal ,
CAT,,CAT,Ecm,174,3,Fuel Temperature open/short to +batt ,
CAT,,CAT,Ecm,174,4,Fuel Temperature  short to ground ,
CAT,,CAT,Ecm,1074,5,Retarder Solenoid cUrrent below normal ,
CAT,,CAT,Ecm,1074,6,Retarder  Solenoid current above nurmal ,
CAT,,CAT,Ecm,626,5,Ether Start Relay open/short to +batt ,
CAT,,CAT,Ecm,626,5,Ether Injection Control Solenoid open/short to +batt ,
CAT,,CAT,Ecm,626,6,Ether Start Relay short to ground ,
CAT,,CAT,Ecm,626,6,Ether Injection Control Solenoid short to ground ,
CAT,,CAT,Ecm,678,3,8 Volt DG Supply short to +batt ,
CAT,,CAT,Ecm,678,4,8 Volt DC Sugply short to ground ,
CAT,,CAT,Ecm,620,3,5 Volt Sensor DC Power Supply short to +batt ,
CAT,,CAT,Ecm,1079,3,5 Volt Sensor DC Power Supply short to +batt ,
CAT,,CAT,Ecm,620,4,5 Volt Sensor DC Power Supply short to ground ,
CAT,,CAT,Ecm,1079,4,5 Volt Sensor DC Power Supply short to ground ,
CAT,,CAT,Ecm,100,3,Engine Oil Pressure open/short to • batt ,
CAT,,CAT,Ecm,100,4,Engine Oil Pressure short to ground ,
CAT,,CAT,Ecm,100,10,Engine Oil Pressure abnormal rate of change ,
CAT,,CAT,Ecm,102,3,Boost Pressure Sensor short to +batt ,
CAT,,CAT,Ecm,102,4,Boost Pressure Sensor short to ground ,
CAT,,CAT,Ecm,102,10,Boost Pressure Sensor abnormal rate of change ,
CAT,,CAT,Ecm,102,3,Intake Manifold Pressure Sensor voltage above normal ,
CAT,,CAT,Ecm,102,4,Intake Manifold Pressure Sensor voltage below normal ,
CAT,,CAT,Ecm,102,10,Intake Manifold Pressure Sensor abnormal rate of change ,
