Manufcature,Type,Engine,Controller,"Cummins Code
",SPN,FMI,Code
Cummins,,Cummins,Ecm,"111
",629,12,Engine Control Module – Critical internal failure
Cummins,,Cummins,Ecm,"112
",635,7,Engine Timing Actuator is not responding to ECM commands
Cummins,,Cummins,Ecm,"113
",635,3,Engine Timing Actuator Circuit - shorted high
Cummins,,Cummins,Ecm,"114
",635,4,Engine Timing Actuator Circuit - shorted low
Cummins,,Cummins,Ecm,"115
",190,2,Engine Speed/Position Sensor Circuit - lost both of two signals from the magnetic pickup sensor
Cummins,,Cummins,Ecm,"116
",156,3,Fuel Timing Pressure Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"117
",156,4,Fuel Timing Pressure Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"118
",135,3,Fuel Pump Delivery Pressure Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"119
",135,4,Fuel Pump Delivery Pressure Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"121
",190,10,Engine Speed/Position Sensor Circuit - lost one of two signals from the magnetic pickup sensor
Cummins,,Cummins,Ecm,"122
",102,3,Intake Manifold Pressure Sensor #1 Circuit - shorted high
Cummins,,Cummins,Ecm,"123
",102,4,Intake Manifold Pressure Sensor #1 Circuit - shorted low
Cummins,,Cummins,Ecm,"124
",102,16,High Intake Manifold Pressure Left Bank
Cummins,,Cummins,Ecm,"125
",102,18,Low Intake Manifold Pressure Left Bank
Cummins,,Cummins,Ecm,"126
",1129,16,High Intake Manifold Pressure Right Bank
Cummins,,Cummins,Ecm,"127
",1129,18,Low Intake Manifold Pressure Right Bank
Cummins,,Cummins,Ecm,"128
",1129,3,Right Bank Intake Manifold Pressure Sensor Circuit Failed High
Cummins,,Cummins,Ecm,"129
",1129,4,Right Bank Intake Manifold Pressure Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,"131
",91,3,Accelerator Pedal Position Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"132
",91,4,Accelerator Pedal Position Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"133
",974,3,Remote Accelerator Pedal Position Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"133
",29,3,Remote Accelerator Pedal Position Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"134
",974,4,Remote Accelerator Pedal Position Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"134
",29,4,Remote Accelerator Pedal Position Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"135
",100,3,Engine Oil Pressure Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"136
",1208,3,Pre Filter Oil Pressure Sensor Circuit Failed High
Cummins,,Cummins,Ecm,"137
",1208,4,Pre Filter Oil Pressure Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,"141
",100,4,Engine Oil Pressure Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"143
",100,18,Engine Oil Pressure Low – Warning
Cummins,,Cummins,Ecm,"143
",100,1,Engine Oil Pressure Low – Warning
Cummins,,Cummins,Ecm,"144
",110,3,Engine Coolant Temperature Sensor Circuit - shorted high
Cummins,,Cummins,Ecm,"145
",110,4,Engine Coolant Temperature Sensor Circuit - shorted low
Cummins,,Cummins,Ecm,"146
",110,16,Engine Coolant Temperature High – Warning
Cummins,,Cummins,Ecm,"147
",91,8,Accelerator Pedal Position Sensor Circuit - low frequency
Cummins,,Cummins,Ecm,"148
",91,8,Accelerator Pedal Position Sensor Circuit - high frequency
Cummins,,Cummins,Ecm,"151
",110,0,Engine Coolant Temperature High – Critical
Cummins,,Cummins,Ecm,"151
",110,0,Engine Coolant Temperature High – Critical
Cummins,,Cummins,Ecm,"153
",105,3,Intake Manifold Temperature Sensor #1 Circuit - shorted high
Cummins,,Cummins,Ecm,"154
",105,4,Intake Manifold Temperature Sensor #1 Circuit - shorted low
Cummins,,Cummins,Ecm,"155
",105,0,Intake Manifold Temperature #1 High - Critical
Cummins,,Cummins,Ecm,"155
",105,0,Intake Manifold Temperature #1 High – Critical
Cummins,,Cummins,Ecm,"156
",1131,3,Left Bank Rear Intake Manifold Temp Sensor Circuit Failed High
Cummins,,Cummins,Ecm,"157
",1131,4,Left Bank Rear Intake Manifold Temp Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,"158
",1131,0,High Intake Manifold Temp - Left Bank Rear
Cummins,,Cummins,Ecm,"159
",1132,3,Right Bank Front Intake Manifold Temperature Sensor Circuit Failed High
Cummins,,Cummins,Ecm,"161
",1132,4,Right Bank Front Intake Manifold Temperature Sensor Circuit Failed Low
Cummins,,Cummins,Ecm,"162
",1132,0,High Intake Manifold Temperature - Right Bank Front
