Manufacture,Type,Engine,Controllers,SPN,FMI,Code,KWP,Blink
Deutz,Deutz,Deutz,ECM,132,11,Engine - Air mass - Root cause not known,1,226
Deutz,Deutz,Deutz,ECM,172,2,Engine - Ambient air temperature sensor - Data erratic intermittent or incorrect,9,226
Deutz,Deutz,Deutz,ECM,523924,3,Engine - Actuator relay 2 - Voltage above normal or shorted to high source,37,167
Deutz,Deutz,Deutz,ECM,523925,3,Engine - Actuator relay 3 - Voltage above normal or shorted to high source,38,731
Deutz,Deutz,Deutz,ECM,523927,3,Engine - Actuator relay 6 - Voltage above normal or shorted to high source,40,733
Deutz,Deutz,Deutz,ECM,523924,4,Engine - Actuator relay 2 - Voltage below normal or shorted to low source,42,167
Deutz,Deutz,Deutz,ECM,523925,4,Engine - Actuator relay 3 - Voltage below normal or shorted to low source,43,731
Deutz,Deutz,Deutz,ECM,523926,4,Engine - Actuator relay 4 - Voltage below normal or shorted to low source,44,732
Deutz,Deutz,Deutz,ECM,168,3,Machine - Battery voltage - Voltage above normal or shorted to high source,45,318
Deutz,Deutz,Deutz,ECM,168,4,Machine - Battery voltage - Voltage below normal or shorted to low source,46,318
Deutz,Deutz,Deutz,ECM,168,2,Machine - Battery voltage - Data erratic intermittent or incorrect,47,318
Deutz,Deutz,Deutz,ECM,168,2,Machine - Battery voltage - Data erratic intermittent or incorrect,48,318
Deutz,Deutz,Deutz,ECM,523910,14,Exhaust aftertreatment - Burner air pump - Special instructions,55,6-9-5
Deutz,Deutz,Deutz,ECM,524013,7,Exhaust aftertreatment - Burner operation - Mechanical system not responding or out of adjustment,56,8-5-6
Deutz,Deutz,Deutz,ECM,524020,14,Exhaust aftertreatment - Burner regeneration lack of oxygen - Special instructions,57,8-6-3
Deutz,Deutz,Deutz,ECM,523911,0,Exhaust aftertreatment - Burner dosing valve - Data above normal operational range (Most severe level),58,723
Deutz,Deutz,Deutz,ECM,523911,4,Exhaust aftertreatment - Burner dosing valve - Voltage below normal or shorted to low source,62,723
Deutz,Deutz,Deutz,ECM,523911,11,Exhaust aftertreatment - Burner dosing valve - Root cause not known,63,723
Deutz,Deutz,Deutz,ECM,523912,2,Exhaust aftertreatment - Pressure sensor after burner dosing valve - Data erratic intermittent or incorrect,64,7-2-2
Deutz,Deutz,Deutz,ECM,523912,0,Exhaust aftertreatment - Pressure sensor after burner dosing valve - Data above normal operational range (Most severe level),66,7-2-2
Deutz,Deutz,Deutz,ECM,523912,1,Exhaust aftertreatment - Pressure sensor after burner dosing valve - Data below normal operational range (Most severe level),69,7-2-2
Deutz,Deutz,Deutz,ECM,523912,3,Exhaust aftertreatment - Pressure sensor after burner dosing valve - Voltage above normal or shorted to high source,72,722
Deutz,Deutz,Deutz,ECM,523912,4,Exhaust aftertreatment - Pressure sensor after burner dosing valve - Voltage below normal or shorted to low source,73,722
Deutz,Deutz,Deutz,ECM,523913,3,Engine - Diagnostic cable glow plug control - Voltage above normal or shorted to high source,74,721
Deutz,Deutz,Deutz,ECM,523913,4,Engine - Diagnostic cable glow plug control - Voltage below normal or shorted to low source,75,721
Deutz,Deutz,Deutz,ECM,523914,5,Engine - Glow plug control - Current below normal or open circuit,76,721
Deutz,Deutz,Deutz,ECM,523914,12,Engine - Glow plug control - Bad intelligent device or component,77,721
Deutz,Deutz,Deutz,ECM,523914,3,Engine - Glow plug control - Voltage above normal or shorted to high source,78,721
Deutz,Deutz,Deutz,ECM,523914,4,Engine - Glow plug control - Voltage below normal or shorted to low source,79,721
Deutz,Deutz,Deutz,ECM,1235,14,Machine - CAN - Special instructions,82,271
Deutz,Deutz,Deutz,ECM,639,14,Machine - CAN - Special instructions,84,271
Deutz,Deutz,Deutz,ECM,1231,14,Machine - CAN - Special instructions,85,271
Deutz,Deutz,Deutz,ECM,1235,14,Machine - CAN - Special instructions,86,271
Deutz,Deutz,Deutz,ECM,102,2,Engine - Charge air pressure sensor - Data erratic intermittent or incorrect,88,223
Deutz,Deutz,Deutz,ECM,102,2,Engine - Charge air pressure sensor - Data erratic intermittent or incorrect,89,223
Deutz,Deutz,Deutz,ECM,110,0,Engine - Coolant temperature sensor - Data above normal operational range (Most severe level),92,225
Deutz,Deutz,Deutz,ECM,110,1,Engine - Coolant temperature sensor - Data below normal operational range (Most severe level),93,225
Deutz,Deutz,Deutz,ECM,110,3,Engine - Coolant temperature sensor - Voltage above normal or shorted to high source,96,225
Deutz,Deutz,Deutz,ECM,110,4,Engine - Coolant temperature sensor - Voltage below normal or shorted to low source,97,225
Deutz,Deutz,Deutz,ECM,110,0,Engine - Coolant temperature sensor - Data above normal operational range (Most severe level),98,232
Deutz,Deutz,Deutz,ECM,110,0,Engine - Coolant temperature sensor - Data above normal operational range (Most severe level),99,232
Deutz,Deutz,Deutz,ECM,111,1,Engine - Coolant level sensor - Data below normal operational range (Most severe level),101,235
Deutz,Deutz,Deutz,ECM,1109,2,Engine - Protection system requested shutdown - Data erratic intermittent or incorrect,121,341
Deutz,Deutz,Deutz,ECM,523698,11,Engine - Shut down request from internal ECU monitoring - Root cause not known,122,591
Deutz,Deutz,Deutz,ECM,523717,12,Engine - CAN ambient conditions - Bad intelligent device or component,125,595
Deutz,Deutz,Deutz,ECM,523603,9,Engine - CAN ambient temperature - Abnormal update rate timeout,126,338
Deutz,Deutz,Deutz,ECM,3224,9,Exhaust aftertreatment - NOx sensor mixing section - Abnormal update rate timeout,128,597
Deutz,Deutz,Deutz,ECM,3224,2,Exhaust aftertreatment - NOx sensor mixing section - Data erratic intermittent or incorrect,129,596
Deutz,Deutz,Deutz,ECM,3224,9,Exhaust aftertreatment - NOx sensor mixing section - Abnormal update rate timeout,130,597
Deutz,Deutz,Deutz,ECM,523938,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,133,766
Deutz,Deutz,Deutz,ECM,523939,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,134,766
Deutz,Deutz,Deutz,ECM,523940,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,135,766
Deutz,Deutz,Deutz,ECM,3234,9,Exhaust aftertreatment - NOx sensor after SCR - Abnormal update rate timeout,137,117
Deutz,Deutz,Deutz,ECM,3234,2,Exhaust aftertreatment - NOx sensor after SCR - Data erratic intermittent or incorrect,138,114
Deutz,Deutz,Deutz,ECM,3234,9,Exhaust aftertreatment - NOx sensor after SCR - Abnormal update rate timeout,139,117
Deutz,Deutz,Deutz,ECM,523941,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,140,767
Deutz,Deutz,Deutz,ECM,523942,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,141,767
Deutz,Deutz,Deutz,ECM,523943,9,Exhaust aftertreatment - CAN exhaust inlet - Abnormal update rate timeout,142,767
Deutz,Deutz,Deutz,ECM,523992,9,Engine - Fan - Abnormal update rate timeout,153,7-9-3
Deutz,Deutz,Deutz,ECM,523211,9,Engine - CAN engine brake - Abnormal update rate timeout,164,331
Deutz,Deutz,Deutz,ECM,523704,12,Engine - Engine controller 3 - Bad intelligent device or component,167,615
Deutz,Deutz,Deutz,ECM,523935,12,Engine - Engine controller 3 - Bad intelligent device or component,168,763
Deutz,Deutz,Deutz,ECM,523936,12,Engine - Engine controller 3 - Bad intelligent device or component,169,764
Deutz,Deutz,Deutz,ECM,523212,9,Engine - CAN engine protection - Abnormal update rate timeout,171,333
Deutz,Deutz,Deutz,ECM,523741,14,Machine - CAN shut down request from engine shut down - Special instructions,172,618
Deutz,Deutz,Deutz,ECM,523240,9,Engine - CAN Functional mode control - Abnormal update rate timeout,179,527
Deutz,Deutz,Deutz,ECM,523216,9,Engine - CAN pre heating - Abnormal update rate timeout,198,337
Deutz,Deutz,Deutz,ECM,523793,9,Engine - CAN AGS - Abnormal update rate timeout,202,678
Deutz,Deutz,Deutz,ECM,523794,9,Engine - CAN AGS - Abnormal update rate timeout,203,678
Deutz,Deutz,Deutz,ECM,523803,9,Exhaust aftertreatment -  - Abnormal update rate timeout,212,678
Deutz,Deutz,Deutz,ECM,523766,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,281,118
Deutz,Deutz,Deutz,ECM,523767,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,282,118
Deutz,Deutz,Deutz,ECM,523768,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,283,119
Deutz,Deutz,Deutz,ECM,523769,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,284,119
Deutz,Deutz,Deutz,ECM,523776,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,291,119
Deutz,Deutz,Deutz,ECM,523777,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,292,119
Deutz,Deutz,Deutz,ECM,523778,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,293,118
Deutz,Deutz,Deutz,ECM,523779,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,294,118
Deutz,Deutz,Deutz,ECM,523788,12,Engine - CAN TC - Bad intelligent device or component,299,655
Deutz,Deutz,Deutz,ECM,523605,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,300,118
Deutz,Deutz,Deutz,ECM,523606,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,301,119
Deutz,Deutz,Deutz,ECM,898,9,Machine - Externally requested engine rotation speed - Abnormal update rate timeout,305,118
Deutz,Deutz,Deutz,ECM,520,9,Machine - CAN torque rotation speed control - Abnormal update rate timeout,306,119
Deutz,Deutz,Deutz,ECM,523858,12,Engine - CAN AGS purification - Bad intelligent device or component,313,679
Deutz,Deutz,Deutz,ECM,523867,12,Engine - CAN AGS burner air pump - Bad intelligent device or component,322,679
Deutz,Deutz,Deutz,ECM,523982,0,Engine - Power stage diagnostic - Data above normal operational range (Most severe level),360,737
Deutz,Deutz,Deutz,ECM,523982,1,Engine - Power stage diagnostic - Data below normal operational range (Most severe level),361,737
Deutz,Deutz,Deutz,ECM,523090,2,Machine - Pre selection switch engine brake - Data erratic intermittent or incorrect,362,329
Deutz,Deutz,Deutz,ECM,630,12,Engine - ECU calibration memory - Bad intelligent device or component,376,281
Deutz,Deutz,Deutz,ECM,630,12,Engine - ECU calibration memory - Bad intelligent device or component,377,281
Deutz,Deutz,Deutz,ECM,630,12,Engine - ECU calibration memory - Bad intelligent device or component,378,281
Deutz,Deutz,Deutz,ECM,411,4,Engine - EGR differential pressure - Voltage below normal or shorted to low source,381,693
Deutz,Deutz,Deutz,ECM,2791,12,Engine - EGR actuator - Bad intelligent device or component,384,415
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,387,555
Deutz,Deutz,Deutz,ECM,190,0,Engine - Rotation speed - Data above normal operational range (Most severe level),388,214
Deutz,Deutz,Deutz,ECM,190,0,Engine - Rotation speed - Data above normal operational range (Most severe level),389,214
Deutz,Deutz,Deutz,ECM,190,11,Engine - Rotation speed - Root cause not known,390,214
Deutz,Deutz,Deutz,ECM,190,14,Engine - Rotation speed - Special instructions,391,214
Deutz,Deutz,Deutz,ECM,108,0,Engine - Ambient pressure sensor - Data above normal operational range (Most severe level),409,292
Deutz,Deutz,Deutz,ECM,108,1,Engine - Ambient pressure sensor - Data below normal operational range (Most severe level),410,292
Deutz,Deutz,Deutz,ECM,108,11,Engine - Ambient pressure sensor - Root cause not known,411,292
Deutz,Deutz,Deutz,ECM,108,3,Engine - Ambient pressure sensor - Voltage above normal or shorted to high source,412,292
Deutz,Deutz,Deutz,ECM,108,4,Engine - Ambient pressure sensor - Voltage below normal or shorted to low source,413,292
Deutz,Deutz,Deutz,ECM,171,0,Engine - Ambient air temperature sensor - Data above normal operational range (Most severe level),415,312
Deutz,Deutz,Deutz,ECM,171,1,Engine - Ambient air temperature sensor - Data below normal operational range (Most severe level),416,312
Deutz,Deutz,Deutz,ECM,171,3,Engine - Ambient air temperature sensor - Voltage above normal or shorted to high source,417,312
Deutz,Deutz,Deutz,ECM,171,4,Engine - Ambient air temperature sensor - Voltage below normal or shorted to low source,418,312
Deutz,Deutz,Deutz,ECM,190,8,Engine - Rotation speed - Abnormal frequency or pulse width or period,419,212
Deutz,Deutz,Deutz,ECM,190,12,Engine - Rotation speed - Bad intelligent device or component,420,212
Deutz,Deutz,Deutz,ECM,190,2,Engine - Rotation speed - Data erratic intermittent or incorrect,421,213
Deutz,Deutz,Deutz,ECM,190,8,Engine - Rotation speed - Abnormal frequency or pulse width or period,422,212
Deutz,Deutz,Deutz,ECM,190,12,Engine - Rotation speed - Bad intelligent device or component,423,212
Deutz,Deutz,Deutz,ECM,975,5,Engine - Fan - Current below normal or open circuit,455,238
Deutz,Deutz,Deutz,ECM,975,3,Engine - Fan - Voltage above normal or shorted to high source,457,238
