Manufacture,Type,Engine,Controllers,SPN,FMI,Code 
Hyundai,Excavator,Cummins,Ecm,22,3,"extended Crankcase Blow-By Pressure Circuit - Voltage Above Normal, or Shorted to High Source"
Hyundai,Forklift,Cummins,Ecm,22,3,"crankcase Pressure : Extended Crankcase Blow - By Pressure Circuit Voltage Above Normal, or"
Hyundai,Loader,Cummins,Ecm,22,3,"extended Crankcase Blow-By Pressure Circuit - Voltage Above Normal, or Shorted to High Source"
Hyundai,Excavator,Cummins,Ecm,22,4,"extended Crankcase Blow-By Pressure Circuit - Voltage Below Normal, or Shorted to Low Source"
Hyundai,Forklift,Cummins,Ecm,22,4,"crankcase Pressure : Extended Crankcase Blow - By Pressure Circuit Voltage Below Normal, or"
Hyundai,Loader,Cummins,Ecm,22,4,"extended Crankcase Blow-By Pressure Circuit - Voltage Below Normal, or Shorted to Low Source"
Hyundai,Excavator,Cummins,Ecm,27,2,"EGR Valve Position - Data Erratic, Intermittent or Incorrect     "
Hyundai,Forklift,Cummins,Ecm,27,2,"EGR Valve Position - Data Erratic, Intermittent, or Incorrect. Intermittent Egr Position Information Is"
Hyundai,Loader,Cummins,Ecm,27,2,"EGR Valve Position - Data Erratic, Intermittent or Incorrect     "
Hyundai,Forklift,Cummins,Ecm,27,3,exhaust Gas Recirculation (EGR) Valve Position Sensor Circuit - Voltage Above Normal or Shorted
Hyundai,Excavator,Perkins,Ecm,27,3,engine Exhaust Gas Recirculation Valve Position : Voltage Above Normal    
Hyundai,Loader,Perkins,Ecm,27,3,engine Exhaust Gas Recirculation Valve Position : Voltage Above Normal    
Hyundai,Excavator,Cummins,Ecm,27,4,"EGR Valve Position Circuit - Voltage Below Normal, or Shorted to Low Source "
Hyundai,Forklift,Cummins,Ecm,27,4,exhaust Gas Recirculation (EGR) Valve Position Circuit - Voltage Below Normal or Shorted to
Hyundai,Loader,Cummins,Ecm,27,4,"EGR Valve Position Circuit - Voltage Below Normal, or Shorted to Low Source "
Hyundai,Excavator,Perkins,Ecm,27,4,engine Exhaust Gas Recirculation Valve Position : Voltage Below Normal    
Hyundai,Loader,Perkins,Ecm,27,4,engine Exhaust Gas Recirculation Valve Position : Voltage Below Normal    
Hyundai,Forklift,Cummins,Ecm,27,13,EGR Valve Failed Automatic Calibration Procedure - Out of Calibration.    
Hyundai,Excavator,Yanmar,Ecm,28,0,accelerator Sensor 3 Error (foot Pedal in Open Position)     
Hyundai,Loader,Yanmar,Ecm,28,0,accelerator Sensor 3 Error (foot Pedal in Open Position)     
Hyundai,Excavator,Yanmar,Ecm,28,1,accelerator Sensor 3 Error (foot Pedal in Closed Position)     
Hyundai,Loader,Yanmar,Ecm,28,1,accelerator Sensor 3 Error (foot Pedal in Closed Position)     
Hyundai,Excavator,Yanmar,Ecm,28,3,accelerator Sensor 2 Error (voltage High)        
Hyundai,Loader,Yanmar,Ecm,28,3,accelerator Sensor 2 Error (voltage High)        
Hyundai,Excavator,Yanmar,Ecm,28,4,accelerator Sensor 2 Error (voltage Low)        
Hyundai,Loader,Yanmar,Ecm,28,4,accelerator Sensor 2 Error (voltage Low)        
Hyundai,Excavator,Perkins,Ecm,29,2,"accelerator Pedal Position 2 : Erratic, Intermittent or Incorrect     "
Hyundai,Loader,Perkins,Ecm,29,2,"accelerator Pedal Position 2 : Erratic, Intermittent or Incorrect     "
Hyundai,Forklift,Cummins,Ecm,29,3,high Voltage Detected At the Remote Throttle Position Signal Circuit.    
Hyundai,Excavator,Perkins,Ecm,29,3,accelerator Pedal Position 2 : Voltage Above Normal      
Hyundai,Loader,Perkins,Ecm,29,3,accelerator Pedal Position 2 : Voltage Above Normal      
Hyundai,Excavator,Yanmar,Ecm,29,3,accelerator Sensor 3 Error (voltage High)        
Hyundai,Loader,Yanmar,Ecm,29,3,accelerator Sensor 3 Error (voltage High)        
Hyundai,Forklift,Cummins,Ecm,29,4,low Voltage Detected At the Remote Throttle Position Signal Circuit.    
Hyundai,Excavator,Perkins,Ecm,29,4,accelerator Pedal Position 2 : Voltage Below Normal      
Hyundai,Loader,Perkins,Ecm,29,4,accelerator Pedal Position 2 : Voltage Below Normal      
Hyundai,Excavator,Yanmar,Ecm,29,4,accelerator Sensor 3 Error (voltage Low)        
Hyundai,Loader,Yanmar,Ecm,29,4,accelerator Sensor 3 Error (voltage Low)        
Hyundai,Excavator,Perkins,Ecm,29,8,"accelerator Pedal Position 2 : Abnormal Frequency, Pulse Width or Period   "
Hyundai,Loader,Perkins,Ecm,29,8,"accelerator Pedal Position 2 : Abnormal Frequency, Pulse Width or Period   "
Hyundai,Excavator,Yanmar,Ecm,29,8,pulse Accelerator Sensor Error (pulse Communication)        
